pool,game_file,source_file,source_page,original_url,license,license_url,author,date,description,origin,original_size
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_002_1920x1080.png,M102 howitzers during Operation Urgent Fury.jpg,https://commons.wikimedia.org/wiki/File:M102_howitzers_during_Operation_Urgent_Fury.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/M102_howitzers_during_Operation_Urgent_Fury.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,TSGT M. J. CREEN,1983-11-03,82nd Airborne artillery personnel load and fire M102 105 mm howitzers during Operation URGENT FURY.,Category:82nd Airborne Division in Operation Urgent Fury,2920x1990
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_006_1920x1080.png,"Members of the 82nd Airborne Division prepare to go out on patrol during Operation URGENT FURY. Two soldiers have M203 40 mm grenade launchers mounted on M16A1 rifles, one has a sni - DPLA - e1bf44b2507c350b638b38e4bc23a3d8.jpeg","https://commons.wikimedia.org/wiki/File:Members_of_the_82nd_Airborne_Division_prepare_to_go_out_on_patrol_during_Operation_URGENT_FURY._Two_soldiers_have_M203_40_mm_grenade_launchers_mounted_on_M16A1_rifles,_one_has_a_sni_-_DPLA_-_e1bf44b2507c350b638b38e4bc23a3d8.jpeg",https://upload.wikimedia.org/wikipedia/commons/f/fd/Members_of_the_82nd_Airborne_Division_prepare_to_go_out_on_patrol_during_Operation_URGENT_FURY._Two_soldiers_have_M203_40_mm_grenade_launchers_mounted_on_M16A1_rifles%2C_one_has_a_sni_-_DPLA_-_e1bf44b2507c350b638b38e4bc23a3d8.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"25 October 1983 date QS:P571,+1983-10-25T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: URGENT FURY Country: Grenada (GRD) Scene Camera Operator: SGT Michael Bogdanowicz Release Status: Released to Public,Category:82nd Airborne Division in Operation Urgent Fury,2775x1827
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_007_1920x1080.png,A member of the 82nd Airborne Division operates communications equipment while a member of the Eastern Caribbean Defense Force looks on during Operation URGENT FURY - DPLA - 5a2f4b975884db6d39069034a6aecaad.jpeg,https://commons.wikimedia.org/wiki/File:A_member_of_the_82nd_Airborne_Division_operates_communications_equipment_while_a_member_of_the_Eastern_Caribbean_Defense_Force_looks_on_during_Operation_URGENT_FURY_-_DPLA_-_5a2f4b975884db6d39069034a6aecaad.jpeg,https://upload.wikimedia.org/wikipedia/commons/2/26/A_member_of_the_82nd_Airborne_Division_operates_communications_equipment_while_a_member_of_the_Eastern_Caribbean_Defense_Force_looks_on_during_Operation_URGENT_FURY_-_DPLA_-_5a2f4b975884db6d39069034a6aecaad.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"25 October 1983 date QS:P571,+1983-10-25T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: URGENT FURY Country: Grenada (GRD) Scene Camera Operator: SPC Douglas Ide Release Status: Released to Public,Category:82nd Airborne Division in Operation Urgent Fury,2810x1850
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_003_1920x1080.png,ChTZ tractor.JPEG,https://commons.wikimedia.org/wiki/File:ChTZ_tractor.JPEG,https://upload.wikimedia.org/wikipedia/commons/b/b5/ChTZ_tractor.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Unknown author Unknown author,1983-10-28,"A soviet-built tracked tractor T-100 seized during the multiservice, multinational Operation URGENT FURY.",Category:Operation Urgent Fury,2800x1860
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_004_1920x1080.png,A stone wall surrounding a mental hospital that was accidentally hit by a bomb during Operation URGENT FURY - DPLA - 1b86027d1a1e2bb586267256afb2e3e7.jpeg,https://commons.wikimedia.org/wiki/File:A_stone_wall_surrounding_a_mental_hospital_that_was_accidentally_hit_by_a_bomb_during_Operation_URGENT_FURY_-_DPLA_-_1b86027d1a1e2bb586267256afb2e3e7.jpeg,https://upload.wikimedia.org/wikipedia/commons/0/06/A_stone_wall_surrounding_a_mental_hospital_that_was_accidentally_hit_by_a_bomb_during_Operation_URGENT_FURY_-_DPLA_-_1b86027d1a1e2bb586267256afb2e3e7.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"28 October 1983 date QS:P571,+1983-10-28T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: URGENT FURY Base: Grenville Country: Grenada (GRD) Scene Camera Operator: PH2 David Wujcik Release Status: Released to Public,Category:Operation Urgent Fury,2840x1860
AR,Data-Vengeance/Loadscreens/RealConflict/AR/AR_002_1920x1080.png,"A Panamanian man smiles at some Marines from Company D, 2nd Light Armored Infantry Battalion, as they ride past him aboard an LAV25 light armored vehicle during Operation ROUGH RIDE - DPLA - b1cf33332d2f5cfa3c12dceca6d752b0.jpeg","https://commons.wikimedia.org/wiki/File:A_Panamanian_man_smiles_at_some_Marines_from_Company_D,_2nd_Light_Armored_Infantry_Battalion,_as_they_ride_past_him_aboard_an_LAV25_light_armored_vehicle_during_Operation_ROUGH_RIDE_-_DPLA_-_b1cf33332d2f5cfa3c12dceca6d752b0.jpeg",https://upload.wikimedia.org/wikipedia/commons/d/d1/A_Panamanian_man_smiles_at_some_Marines_from_Company_D%2C_2nd_Light_Armored_Infantry_Battalion%2C_as_they_ride_past_him_aboard_an_LAV25_light_armored_vehicle_during_Operation_ROUGH_RIDE_-_DPLA_-_b1cf33332d2f5cfa3c12dceca6d752b0.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"22 November 1989 date QS:P571,+1989-11-22T00:00:00Z/11","The original finding aid described this photograph as: Country: Panama (PAN) Scene Camera Operator: PH1 (Sw) J. Elliott, USN Release Status: Released to Public",Category:1989 in Panama,2800x1840
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_005_1920x1080.png,CH-3E with AFSAC personnel for Grenada 1983.JPEG,https://commons.wikimedia.org/wiki/File:CH-3E_with_AFSAC_personnel_for_Grenada_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/6/65/CH-3E_with_AFSAC_personnel_for_Grenada_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,USAF,1983-10-28,"A U.S. Force Sikorsky CH-3E helicpter (s/n 65-5691) takes off for Grenada on 28 October 1983, carrying U.S. Air Force Security Assistance Center personnel. The AFSAC develops and executes international agreements with friendly forces to provide defense materiel and services, in support of US national security.",Category:Operation Urgent Fury,2740x1890
TM,Data-Vengeance/Loadscreens/RealConflict/TM/TM_002_1920x1080.png,"Operation Just Cause, Panama (10470329534).jpg","https://commons.wikimedia.org/wiki/File:Operation_Just_Cause,_Panama_(10470329534).jpg",https://upload.wikimedia.org/wikipedia/commons/b/be/Operation_Just_Cause%2C_Panama_%2810470329534%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"Gary Todd from Xinzheng, China",2010-07-23 01:25,"Special Warfare Museum, Fort Bragg, North Carolina. Complete indexed photo collection at WorldHistoryPics.com.",Category:United States invasion of Panama,3888x2592
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_006_1920x1080.png,Explosion2 during Grenada invasion 1983.JPEG,https://commons.wikimedia.org/wiki/File:Explosion2_during_Grenada_invasion_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/6/63/Explosion2_during_Grenada_invasion_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Spec. Long,1983-10-25,"An explosion during ""Operation Urgent Fury"", Grenada, 25 October 1983.",Category:Operation Urgent Fury,2840x1900
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_008_1920x1080.png,Two members of the 82nd Airborne Division repair the left drive sprocket on an M-551 Sheridan light tank in Panama.jpg,https://commons.wikimedia.org/wiki/File:Two_members_of_the_82nd_Airborne_Division_repair_the_left_drive_sprocket_on_an_M-551_Sheridan_light_tank_in_Panama.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Two_members_of_the_82nd_Airborne_Division_repair_the_left_drive_sprocket_on_an_M-551_Sheridan_light_tank_in_Panama.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"SGT. Joseph Garrison, US Army",1989-12-01,"Two members of the 82nd Airborne Division repair the left drive sprocket on an M-551 Sheridan light tank parked at the international airport following Operation Just Cause, the U.S. invasion of Panama.",Category:1989 in Panama,2820x1890
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_009_1920x1080.png,A damaged Panamanian aircraft sits in its revetment at the David airport following Operation Just Cause. Exact Date Shot Unknown DF-ST-91-02528.jpg,https://commons.wikimedia.org/wiki/File:A_damaged_Panamanian_aircraft_sits_in_its_revetment_at_the_David_airport_following_Operation_Just_Cause._Exact_Date_Shot_Unknown_DF-ST-91-02528.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8f/A_damaged_Panamanian_aircraft_sits_in_its_revetment_at_the_David_airport_following_Operation_Just_Cause._Exact_Date_Shot_Unknown_DF-ST-91-02528.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,MSGT. Ken Hammond,1990-01-01,A damaged Panamanian aircraft sits in its revetment at the David airport following Operation Just Cause. Exact Date Shot Unknown,Category:United States invasion of Panama,2830x1880
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_007_1920x1080.png,A soldier sets a fuse on a round during a live fire exercise - DPLA - ac0ed678084cfd370c209e2eddcb67fa.jpeg,https://commons.wikimedia.org/wiki/File:A_soldier_sets_a_fuse_on_a_round_during_a_live_fire_exercise_-_DPLA_-_ac0ed678084cfd370c209e2eddcb67fa.jpeg,https://upload.wikimedia.org/wikipedia/commons/6/61/A_soldier_sets_a_fuse_on_a_round_during_a_live_fire_exercise_-_DPLA_-_ac0ed678084cfd370c209e2eddcb67fa.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"1 May 1989 date QS:P571,+1989-05-01T00:00:00Z/11",The original finding aid described this photograph as: Country: Panama (PAN) Scene Camera Operator: STAFF Sergeant Lem Robson Release Status: Released to Public,Category:1989 in Panama,2810x1890
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_008_1920x1080.png,Combatientes (9437160666).jpg,https://commons.wikimedia.org/wiki/File:Combatientes_(9437160666).jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Combatientes_%289437160666%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Dora María Téllez,1979-06-01 00:00,EPSON scanner Image,Category:Nicaraguan Revolution,2144x1360
IN,Data-Vengeance/Loadscreens/RealConflict/IN/IN_001_1920x1080.png,Ft Frederick Grenada damaged October 1983.JPEG,https://commons.wikimedia.org/wiki/File:Ft_Frederick_Grenada_damaged_October_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/9/9e/Ft_Frederick_Grenada_damaged_October_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Spec. Douglas Ide,1983-10-25,"An aerial view of Fort Frederick, Grenada, showing damage sustained during ""Operation Urgent Fury"".",Category:Operation Urgent Fury,2840x1890
TM,Data-Vengeance/Loadscreens/RealConflict/TM/TM_003_1920x1080.png,PanamaM-113JustCauseUS-Invasion.jpg,https://commons.wikimedia.org/wiki/File:PanamaM-113JustCauseUS-Invasion.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/PanamaM-113JustCauseUS-Invasion.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,DoD photo by PH1(SW) J. Elliott,1989-12-21,A U.S. Army M113 armored personnel carrier guards a street near the destroyed Panamanian Defense Force headquarters building during the second day of Operation Just Cause. (note: it's has M175 weapon mount and adapter while Dragon weapon system launcher were loaded on mount),Category:United States invasion of Panama,2000x1448
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_009_1920x1080.png,US and Colombian ships at NS Rodman in 1989.JPEG,https://commons.wikimedia.org/wiki/File:US_and_Colombian_ships_at_NS_Rodman_in_1989.JPEG,https://upload.wikimedia.org/wikipedia/commons/0/0c/US_and_Colombian_ships_at_NS_Rodman_in_1989.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,SPC Mark Williams,1989-11-13,"Tied up at the U.S. Naval Station Rodman, Panama, during the multinational joint naval exercise Unitas XXX are, from top: the destroyer USS Briscoe (DD-977), the guided missile destroyer USS Richard E. Byrd (DDG-23), the frigate USS Jesse L. Brown (FF-1089), the tank landing ship USS Manitowoc (LST-1180), and the Colombian frigates ARC Independiente (54) and ARC Antioquia (FM-53).",Category:1989 in Panama,2578x1724
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_010_1920x1080.png,A group of well-wishers wait on the flight line to greet students from the Saint George's University School of Medicine in Grenada. The medical students are being flown to the base - DPLA - ae7893a43c62827eef104dad694546f8.jpeg,https://commons.wikimedia.org/wiki/File:A_group_of_well-wishers_wait_on_the_flight_line_to_greet_students_from_the_Saint_George%27s_University_School_of_Medicine_in_Grenada._The_medical_students_are_being_flown_to_the_base_-_DPLA_-_ae7893a43c62827eef104dad694546f8.jpeg,https://upload.wikimedia.org/wikipedia/commons/b/bf/A_group_of_well-wishers_wait_on_the_flight_line_to_greet_students_from_the_Saint_George%27s_University_School_of_Medicine_in_Grenada._The_medical_students_are_being_flown_to_the_base_-_DPLA_-_ae7893a43c62827eef104dad694546f8.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"26 October 1983 date QS:P571,+1983-10-26T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: URGENT FURY Base: Charleston Air Force Base State: South Carolina (SC) Country: United States Of America (USA) Scene Camera Operator: Unknown Release Status: Released to Public,Category:Operation Urgent Fury,2790x1860
TM,Data-Vengeance/Loadscreens/RealConflict/TM/TM_004_1920x1080.png,A US serviceman armed with an M16A1 rifle in front of a secured building during Operation URGENT FURY.jpg,https://commons.wikimedia.org/wiki/File:A_US_serviceman_armed_with_an_M16A1_rifle_in_front_of_a_secured_building_during_Operation_URGENT_FURY.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/A_US_serviceman_armed_with_an_M16A1_rifle_in_front_of_a_secured_building_during_Operation_URGENT_FURY.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"TSGT M. J. Creen, US Air Force",1983-10-28,A US serviceman armed with an M16A1 rifle in front of a secured building during Operation URGENT FURY.,Category:Operation Urgent Fury,3026x1980
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_011_1920x1080.png,UH-1N Operation Urgent Fury Grenada 1983.JPEG,https://commons.wikimedia.org/wiki/File:UH-1N_Operation_Urgent_Fury_Grenada_1983.JPEG,https://upload.wikimedia.org/wikipedia/commons/4/4c/UH-1N_Operation_Urgent_Fury_Grenada_1983.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,SPC Gregory Tully,1983-10-25,"A U.S. Marine Corps Bell UH-1N Huey helicopter from Marine medium helicopter transport squadron HMM-261 Raging Bulls during ""Operation Urgent Fury"" on 25 October 1983. The helicopter is equipped with door-mounted M60D machine guns.",Category:Operation Urgent Fury,3000x2010
AF,Data-Vengeance/Loadscreens/RealConflict/AF/AF_010_1920x1080.png,82nd Airborne troops jump from C-141B over Honduras 1988.JPEG,https://commons.wikimedia.org/wiki/File:82nd_Airborne_troops_jump_from_C-141B_over_Honduras_1988.JPEG,https://upload.wikimedia.org/wikipedia/commons/c/c4/82nd_Airborne_troops_jump_from_C-141B_over_Honduras_1988.JPEG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"TSgt. Bom Simmons, USAF",1988-03-01,"Members of the U.S. Army 82nd Airborne Division jump from a USAF Lockheed C-141B Starlifter aircraft over Honduras on 1 March 1988. U.S. President Ronald Reagan mobilized U.S. exercise task force Dragon/Golden Pheasant, consisting of both the 82nd Airborne Division and the 7th Light Infantry Division, to help discourage Nicaraguan forces from entering Honduras.",Category:Operation Golden Pheasant,2492x1681
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_012_1920x1080.png,Governor-General Sir Paul Scoon speaks to members of the media after taking over as head of the new provisional government that was formed after Operation URGENT FURY - DPLA - 4ae90236251d783c70e54f89cd345be3.jpeg,https://commons.wikimedia.org/wiki/File:Governor-General_Sir_Paul_Scoon_speaks_to_members_of_the_media_after_taking_over_as_head_of_the_new_provisional_government_that_was_formed_after_Operation_URGENT_FURY_-_DPLA_-_4ae90236251d783c70e54f89cd345be3.jpeg,https://upload.wikimedia.org/wikipedia/commons/0/08/Governor-General_Sir_Paul_Scoon_speaks_to_members_of_the_media_after_taking_over_as_head_of_the_new_provisional_government_that_was_formed_after_Operation_URGENT_FURY_-_DPLA_-_4ae90236251d783c70e54f89cd345be3.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Department of Defense. American Forces Information Service. Defense Visual Information Center. 1994,"9 November 1983 date QS:P571,+1983-11-09T00:00:00Z/11",The original finding aid described this photograph as: Subject Operation/Series: URGENT FURY Country: Grenada (GRD) Scene Camera Operator: JOC Gary Miller Release Status: Released to Public,Category:Operation Urgent Fury,2860x1890
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_013_1920x1080.png,Handbill distributed by US Forces during the invasion of Grenada.JPG,https://commons.wikimedia.org/wiki/File:Handbill_distributed_by_US_Forces_during_the_invasion_of_Grenada.JPG,https://upload.wikimedia.org/wikipedia/commons/9/95/Handbill_distributed_by_US_Forces_during_the_invasion_of_Grenada.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,EDomingos ( talk ),1983-10,"Handbill distributed by US Forces during the invasion of Grenada. The picture, taken the day after the invasion, on October 26, 1983 - includes (foreground) an Army Psychological Warfare leaflet prepared in advance and dropped by US Air Forces during the invasion of Grenada + and (background) Army Rangers marching through on day two finding the leaflets on the ground. Army Psychological Warfare units became operational on the island a few days later, to operate the AN/TRT-22 radio transmitter that replaced the Radio Grenada transmitter destroyed during the fighting. The ""handbill"" was also handed out during the invasion.",Category:Operation Urgent Fury,2795x1670
JM,Data-Vengeance/Loadscreens/RealConflict/JM/JM_014_1920x1080.png,American woman sits in the front seat of an M151A1 light vehicle with a US military infantryman.jpg,https://commons.wikimedia.org/wiki/File:American_woman_sits_in_the_front_seat_of_an_M151A1_light_vehicle_with_a_US_military_infantryman.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/American_woman_sits_in_the_front_seat_of_an_M151A1_light_vehicle_with_a_US_military_infantryman.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,JOC Gary Miller,1983-11-09,"An American woman sits in the front seat of an M151A1 1/4-ton light vehicle with a US military infantryman prior to being evacuated from the island during Operation URGENT FURY. The vehicle has an M60 machine gun mounted on it, and another M60 is on the right side of the hood with an M203 grenade launcher mounted on an M16A1 rifle on the left.",Category:Operation Urgent Fury,2850x1900
